y,x,labels
-34.358303,-4.743665,0
-36.75277,-3.7128472,0
-45.570244,-3.2075212,0
-43.186127,-3.198443,0
-37.082455,-4.9446974,0
-26.66679,-5.8943615,0
-45.931236,-3.315992,0
-31.240757,-4.1504064,0
-50.623413,-3.000665,0
-35.98936,-3.875338,0
-24.240602,-5.605636,0
-37.659004,-3.8401384,0
-35.567856,-3.5738113,0
-52.236217,-3.089393,0
-15.745663,-6.085953,0
-17.713406,-5.8716006,0
-22.109234,-5.90517,0
-35.159874,-4.6562166,0
-27.20595,-5.749834,0
-22.461105,-5.556515,0
-28.101305,-5.1077347,0
-22.459263,-5.358475,0
-46.870266,-3.2977607,0
-21.96485,-4.727454,0
-36.739513,-4.164961,0
-34.34494,-4.1012373,0
-22.127033,-4.643994,0
-30.587954,-4.959994,0
-31.431128,-4.728167,0
-38.655304,-3.7405941,0
-37.90912,-3.6521747,0
-27.666155,-4.9659557,0
-18.739342,-5.7364893,0
-17.65875,-6.0315557,0
-36.087204,-3.917645,0
-31.721893,-3.9314575,0
-25.156174,-5.227517,0
-37.799644,-4.388989,0
-50.706966,-3.0319843,0
-31.180553,-4.513706,0
-36.711823,-4.598451,0
-50.481968,-3.2585025,0
-49.9,-3.1569288,0
-20.808613,-4.8177133,0
-24.809904,-5.6493425,0
-37.727318,-3.3435743,0
-22.698725,-5.4038434,0
-44.63863,-3.2319,0
-24.34491,-5.538726,0
-31.450197,-4.177923,0
48.75831,7.983518,1
35.847744,8.723822,1
47.64366,7.977278,1
29.707312,10.837647,1
45.086296,8.250721,1
42.70039,9.90501,1
35.052628,8.458066,1
-75.59649,11.347485,1
44.70466,8.578449,1
32.334213,10.82955,1
-73.921776,11.34292,1
46.40539,9.687216,1
29.645903,10.73029,1
49.5488,8.54845,1
28.647951,11.010281,1
41.515694,8.5143,1
41.570164,9.697093,1
32.157684,10.31863,1
8.55582,8.412998,1
28.593447,10.83176,1
24.23719,8.248303,1
39.8414,10.019929,1
12.226784,7.457815,1
50.54433,8.8788595,1
41.017307,8.909778,1
42.262905,8.593284,1
45.991787,8.091244,1
46.853153,7.624494,1
48.21031,9.212645,1
26.880245,11.034301,1
27.614878,10.991333,1
27.050297,11.129162,1
30.248817,10.616287,1
10.838842,7.370399,1
40.788742,9.984783,1
33.641758,8.785438,1
46.869587,8.187266,1
8.135858,9.088507,1
42.389637,10.190977,1
30.640104,10.704182,1
43.47112,10.332854,1
48.70432,8.988969,1
30.587212,10.500981,1
-74.728775,11.304447,1
43.67673,10.369202,1
43.62133,10.122025,1
44.14053,9.996388,1
40.74454,9.356273,1
-75.849434,11.486393,1
43.823044,10.356377,1
-6.491245,5.258846,2
18.945896,7.4771867,2
-15.362504,4.648332,2
5.9782915,6.194896,2
-3.309485,5.3428254,2
-18.928467,4.1282005,2
38.595963,10.535396,2
-17.936983,4.356385,2
-0.15903457,5.789541,2
-8.900765,4.6719446,2
3.3700116,6.42843,2
3.8337622,6.421764,2
0.9653325,5.430884,2
20.199535,7.3294554,2
17.848333,7.3233924,2
-2.6158693,5.7607837,2
5.242879,6.192855,2
-12.521861,4.1791964,2
-20.245398,3.9975274,2
11.321232,7.566206,2
-9.170987,5.008423,2
18.639523,7.3910384,2
-19.389933,3.9695299,2
16.874931,7.4333615,2
-10.806503,5.1602,2
-16.707518,4.457307,2
17.958008,7.7194004,2
22.33881,7.8040085,2
-1.4859707,5.7437553,2
-17.632135,4.492229,2
-17.923498,4.1796455,2
-12.034578,4.3334203,2
-2.1591547,5.601029,2
11.413995,7.2562675,2
7.6105623,6.805723,2
-18.1018,4.0469184,2
-4.831348,5.4301906,2
6.058402,6.12365,2
22.952314,8.045983,2
1.41788,5.6044874,2
-7.5637074,5.297956,2
3.0512495,5.8702784,2
18.436563,7.4188895,2
-9.292261,4.907986,2
-6.9196978,5.056217,2
2.896404,5.9065776,2
15.995314,7.240246,2
3.5530145,6.330316,2
-3.7700367,5.667501,2
22.635729,7.6489835,2
